Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,promo_flag,subscribed,frequency_score,prev_purchases_norm,freq_score_norm,BLI,satisfied_flag,organic_buyer,ILS,eLTV,value_tier,satisfaction_flag,promo_dependency,BLI_quartile,customer_segment
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,14,Venmo,Fortnightly,1,1,5,0.28,0.666666666666667,0.186666666666667,0,0,1,742,Low,Neutral,Promo-Dependent,Q3,At-Risk
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly,1,1,5,0.04,0.666666666666667,0.0266666666666667,0,0,1,128,Low,Neutral,Promo-Dependent,Q1,Discount Hunter
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly,1,1,7,0.46,1,0.46,0,0,1,1679,Mid,Neutral,Promo-Dependent,Q4,Passive / Occasional
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49,PayPal,Weekly,1,1,7,0.98,1,0.98,0,0,1,4410,High,Neutral,Promo-Dependent,Q4,Discount-Dependent Premium
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31,PayPal,Annually,1,1,1,0.62,0,0,0,0,1,1519,Mid,Dissatisfied,Promo-Dependent,Q1,Discount Hunter
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,Yes,14,Venmo,Weekly,1,1,7,0.28,1,0.28,0,0,1,280,Low,Dissatisfied,Promo-Dependent,Q3,At-Risk
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly,1,1,2,0.98,0.166666666666667,0.163333333333333,0,0,1,4165,High,Neutral,Promo-Dependent,Q2,Discount-Dependent Premium
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly,1,1,7,0.38,1,0.38,0,0,1,646,Low,Neutral,Promo-Dependent,Q3,At-Risk
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,8,Venmo,Annually,1,1,1,0.16,0,0,0,0,1,776,Low,Dissatisfied,Promo-Dependent,Q1,Discount Hunter
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly,1,1,2,0.08,0.166666666666667,0.0133333333333333,1,0,2,124,Low,Satisfied,Promo-Dependent,Q1,Discount Hunter
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly,1,1,6,0.52,0.833333333333333,0.433333333333333,1,0,2,884,Mid,Satisfied,Promo-Dependent,Q4,Passive / Occasional
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly,1,1,5,0.2,0.666666666666667,0.133333333333333,1,0,2,680,Low,Satisfied,Promo-Dependent,Q2,Discount Hunter
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,37,Venmo,Fortnightly,1,1,5,0.74,0.666666666666667,0.493333333333333,1,0,2,2664,High,Satisfied,Promo-Dependent,Q4,Discount-Dependent Premium
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,31,PayPal,Weekly,1,1,7,0.62,1,0.62,1,0,2,1581,Mid,Satisfied,Promo-Dependent,Q4,Passive / Occasional
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34,Debit Card,Weekly,1,1,7,0.68,1,0.68,1,0,2,1802,Mid,Satisfied,Promo-Dependent,Q4,Passive / Occasional
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly,1,1,4,0.16,0.5,0.08,0,0,1,648,Low,Dissatisfied,Promo-Dependent,Q2,Discount Hunter
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly,1,1,6,0.88,0.833333333333333,0.733333333333333,1,0,2,1584,Mid,Satisfied,Promo-Dependent,Q4,Passive / Occasional
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly,1,1,2,0.72,0.166666666666667,0.12,1,0,2,1368,Mid,Satisfied,Promo-Dependent,Q2,Discount Hunter
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17,Cash,Weekly,1,1,7,0.34,1,0.34,1,0,2,816,Low,Satisfied,Promo-Dependent,Q3,Passive / Occasional
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,46,Debit Card,Bi-Weekly,1,1,6,0.92,0.833333333333333,0.766666666666667,0,0,1,4140,High,Neutral,Promo-Dependent,Q4,Discount-Dependent Premium
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,Yes,50,Cash,Every 3 Months,1,1,3,1,0.333333333333333,0.333333333333333,0,0,1,2550,High,Dissatisfied,Promo-Dependent,Q3,Discount-Dependent Premium
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22,Debit Card,Quarterly,1,1,2,0.44,0.166666666666667,0.0733333333333333,1,0,2,1364,Mid,Satisfied,Promo-Dependent,Q2,Discount Hunter
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32,Debit Card,Annually,1,1,1,0.64,0,0,0,0,1,1184,Mid,Neutral,Promo-Dependent,Q1,Discount Hunter
